Level,mean brightness across 4 projectors (measured with full screen in top third) [ 𝜇W/cm2] 
0,18.36
0.1,16.3025
0.2,14.755
0.3,12.805
0.4,10.6825
0.5,8.945
0.6,7.1275
0.7,5.3075
0.8,3.5125
0.9,1.79
1,0.0575
