,Stim,I
0,0.0,0.0
1,25.5,31.29404617253949
2,51.0,57.630619684082625
3,76.5,90.47387606318348
4,102.0,115.26123936816525
5,127.5,142.5273390036452
6,153.0,163.90643985419197
7,178.5,191.17253948967192
8,204.0,212.86148238153098
9,229.5,238.57837181044957
10,255.0,255.0
