,Stim,Level,mean brightness across 4 projectors (measured with full screen in top third) [ 𝜇W/cm2] ,I
0,0.0,1.0,0.06,0.0
1,25.5,0.9,0.19,1.8294701986754964
2,51.0,0.8,0.5,6.19205298013245
3,76.5,0.7,1.12,14.917218543046358
4,102.0,0.6,2.29,31.382450331125824
5,127.5,0.5,4.27,59.24668874172185
6,153.0,0.4,6.94,96.82119205298014
7,178.5,0.3,10.77,150.72019867549668
8,204.0,0.2,14.0,196.1754966887417
9,229.5,0.1,16.88,236.70529801324503
10,255.0,0.0,18.18,255.0
