Stim,I
1,205.5
2,205.4
3,194.1
4,176.4
5,161.4
6,137.3
7,119.9
8,93.7
9,67.5
10,39.0
11,3.52
1,203.5
2,201.8
3,192.3
4,179.9
5,159.3
6,139.1
7,113.1
8,91.8
9,72.8
10,31.9
11,3.06
6,138.2
6,133.1
